_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,tweet_emotion,tweet_id,tweet_text,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold
2687400298,3/14/2020 14:21:02,false,5519108320,,3/14/2020 14:17:53,false,clixsense,1.0,44591122,UKR,04,Pyatikhatki,91.227.150.14,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:29:20,false,5519121244,,3/14/2020 14:21:18,false,feca,1.0,45458642,VEN,15,Aricagua,190.75.42.174,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:49:39,false,5519153389,,3/14/2020 14:48:00,false,clixsense,1.0,45034178,RUS,73,Kazan,87.117.185.64,5,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 14:51:46,false,5519156709,,3/14/2020 14:49:32,false,neodev,1.0,40214263,UKR,25,Uzhgorod,194.44.151.213,4,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400298,3/14/2020 15:51:52,false,5519257063,,3/14/2020 15:48:28,false,feca,1.0,45511443,VEN,05,Barinas,186.88.51.56,4,fear,1236697823485149185,"The thing you  fear that you will  loose is already  lost . you are almost 40 , no kids , last of your surname .  NoHope for passing on a  legacy .  Disappointment ?  Confusion ?   Depression ? You did not want to loose a possible  MeaningOfLife . Welcome to your  dystopian future .",
2687400299,3/14/2020 14:20:21,false,5519107175,,3/14/2020 14:17:10,false,feca,1.0,45356720,RUS,48,Moscow,79.165.65.86,3,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 14:52:17,false,5519157446,,3/14/2020 14:47:09,false,feca,1.0,45458642,VEN,15,Aricagua,190.75.42.174,5,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 15:02:34,false,5519172813,,3/14/2020 14:57:36,false,feca,1.0,45189103,PSE,00,Gaza,188.161.80.137,6,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 15:05:33,false,5519177711,,3/14/2020 14:47:32,false,feca,1.0,45699310,EGY,11,Cairo,156.215.116.74,1,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400299,3/14/2020 16:49:02,false,5519355533,,3/14/2020 16:47:56,false,neodev,1.0,40993983,UKR,14,Zakotne,188.190.221.121,4,fear,1236677699248304129,Spider In My Mouth 🕷 👄 Tried to paint it using face paints 🎨 on my hand Inspired by awesomeblossomart  lips  redlips  spider  mouth  fear  eat  eatingspiders  freak  likeatattoo  armdesign  facepainting…,
2687400300,3/14/2020 14:19:23,false,5519105521,,3/14/2020 14:18:04,false,neodev,1.0,44324141,UKR,25,Uzhgorod,194.44.151.213,5,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400300,3/14/2020 14:25:49,false,5519115590,,3/14/2020 14:18:17,false,feca,1.0,45615590,VEN,19,Altagracia,186.89.221.73,5,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400300,3/14/2020 14:47:47,false,5519150583,,3/14/2020 14:46:14,false,neodev,1.0,45312673,UKR,25,Uzhgorod,194.44.151.213,5,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400300,3/14/2020 14:51:40,false,5519156507,,3/14/2020 14:48:00,false,feca,1.0,45356720,RUS,48,Moscow,79.165.65.86,2,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400300,3/14/2020 14:54:38,false,5519160657,,3/14/2020 14:48:01,false,feca,1.0,45232464,VEN,25,Caracas,186.93.146.234,2,fear,1236496023616290817,Here ’ s a post I have written about fear . Please read it if you have the time 🖤,
2687400301,3/14/2020 14:19:23,false,5519105510,,3/14/2020 14:18:04,false,neodev,1.0,44324141,UKR,25,Uzhgorod,194.44.151.213,2,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2687400301,3/14/2020 14:25:49,false,5519115582,,3/14/2020 14:18:17,false,feca,1.0,45615590,VEN,19,Altagracia,186.89.221.73,3,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2687400301,3/14/2020 14:47:47,false,5519150589,,3/14/2020 14:46:14,false,neodev,1.0,45312673,UKR,25,Uzhgorod,194.44.151.213,2,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2687400301,3/14/2020 14:51:40,false,5519156541,,3/14/2020 14:48:00,false,feca,1.0,45356720,RUS,48,Moscow,79.165.65.86,2,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
2687400301,3/14/2020 14:54:38,false,5519160654,,3/14/2020 14:48:01,false,feca,1.0,45232464,VEN,25,Caracas,186.93.146.234,2,fear,1236592711982911489,9am : coffee shop packed 9pm : bowling alley packed,
